"name"	"id"	"disease"
"C4B"	721	"shared"
"C4orf32"	132720	"shared"
"C4orf36"	132989	"sle"
"C5"	727	"ra"
"C5orf47"	133491	"crd"
"C5orf56"	441108	"shared"
"C5orf64"	285668	"sjs"
"C5orf66"	100996485	"shared"
"C6orf10"	10665	"shared"
"C6orf106"	64771	"sle"
"C6orf15"	29113	"shared"
"C6orf3"	643749	"shared"
"C6orf48"	50854	"shared"
"C7orf49"	78996	"crd"
"C7orf57"	136288	"sle"
"C7orf72"	100130988	"shared"
"CA5B"	11238	"as"
"CA7"	766	"sle"
"CAB39"	51719	"shared"
"CABP7"	164633	"t1d"
"CACFD1"	11094	"sle"
"CACNA1A"	773	"shared"
"CACNA1B"	774	"pso"
"CACNA1C"	775	"shared"
"CACNA1E"	777	"ms"
"CACNA1F"	778	"vit"
"CACNA1G"	8913	"shared"
"CACNA1I"	8911	"ms"
"CACNA1S"	779	"shared"
"CACNA2D1"	781	"pso"
"CACNA2D3"	55799	"pso"
"CACNB1"	782	"identical"
"CACNB2"	783	"pso"
"CAD"	790	"shared"
"CADM2"	253559	"shared"
"CALCB"	797	"shared"
"CALHM2"	51063	"sle"
"CALN1"	83698	"ra"
"CAMK1D"	57118	"ms"
"CAMK2A"	815	"ulc"
"CAMK2G"	818	"shared"
"CAMKMT"	79823	"sle"
"CAMKV"	79012	"ced"
"CAMLG"	819	"ms"
"CAMSAP1"	157922	"ra"
"CAMSAP2"	23271	"t1d"
"CAMTA1"	23261	"crd"
"CAND2"	23066	"t1d"
"CANX"	821	"pso"
"CAPN10"	11132	"shared"
"CAPN11"	11131	"ulc"
"CAPN13"	92291	"shared"
"CAPN9"	10753	"t1d"
"CAPRIN1"	4076	"ms"
"CAPS"	828	"pso"
"CAPSL"	133690	"ulc"
"CAPZA1"	829	"shared"
"CAPZA2"	830	"sle"
"CAPZB"	832	"sle"
"CARD11"	84433	"sle"
"CARD14"	79092	"pso"
"CARD6"	84674	"shared"
"CARD9"	64170	"shared"
"CARMIL1"	55604	"ms"
"CASC3"	22794	"pso"
"CASC4"	113201	"shared"
"CASP10"	843	"ms"
"CASP3"	836	"sle"
"CASP7"	840	"vit"
"CASP8"	841	"shared"
"CASQ1"	844	"shared"
"CAST"	831	"shared"
"CATSPER3"	347732	"shared"
"CAV3"	859	"ms"
"CBFA2T3"	863	"shared"
"CBLB"	868	"shared"
"CBLL1"	79872	"ulc"
"CBX8"	57332	"t1d"
"CCBE1"	147372	"shared"
"CCDC102B"	79839	"ms"
"CCDC113"	29070	"sle"
"CCDC116"	164592	"shared"
"CCDC117"	150275	"ms"
"CCDC122"	160857	"crd"
"CCDC129"	223075	"shared"
"CCDC134"	79879	"shared"
"CCDC141"	285025	"identical"
"CCDC144A"	9720	"ms"
"CCDC144B"	284047	"ms"
"CCDC149"	91050	"sle"
"CCDC155"	147872	"ms"
"CCDC157"	550631	"ra"
"CCDC158"	339965	"ee"
"CCDC162P"	221262	"as"
"CCDC170"	80129	"shared"
"CCDC173"	129881	"pso"
"CCDC174"	51244	"shared"
"CCDC180"	100499483	"ssc"
"CCDC189"	90835	"shared"
"CCDC22"	28952	"vit"
"CCDC3"	83643	"pbc"
"CCDC36"	339834	"identical"
"CCDC47"	57003	"pso"
"CCDC6"	8030	"grd"
"CCDC62"	84660	"ms"
"CCDC71"	64925	"identical"
"CCDC77"	84318	"identical"
"CCDC82"	79780	"shared"
"CCDC86"	79080	"ssc"
"CCDC88B"	283234	"shared"
"CCDC92"	80212	"pbc"
"CCDC93"	54520	"sle"
"CCHCR1"	54535	"shared"
"CCL13"	6357	"crd"
"CCL20"	6364	"ulc"
"CCL23"	6368	"shared"
"CCL28"	56477	"identical"
"CCNB3"	85417	"crd"
"CCNY"	219771	"t1d"
"CCR1"	1230	"shared"
"CCR2"	729230	"ced"
"CCR3"	1232	"shared"
"CCR6"	1235	"shared"
"CCRL2"	9034	"jia"
"CD164"	8763	"as"
"CD200R1"	131450	"ra"
"CD226"	10666	"shared"
"CD244"	51744	"shared"
"CD247"	919	"ra"
"CD27-AS1"	678655	"ms"
"CD2BP2"	10421	"ms"
"CD36"	948	"ra"
"CD37"	951	"ms"
"CD40"	958	"shared"
"CD44"	960	"sle"
"CD46"	4179	"ms"
"CD47"	961	"ra"
"CD5"	921	"ra"
"CD58"	965	"shared"
"CD6"	923	"shared"
"CD70"	970	"ms"
"CD74"	972	"identical"
"CD80"	941	"vit"
"CD81"	975	"ssc"
"CD86"	942	"ms"
"CDC14A"	8556	"ms"
"CDC25A"	993	"crd"
"CDC25B"	994	"pso"
"CDC37"	11140	"shared"
"CDC37P2"	647015	"identical"
"CDC40"	51362	"identical"
"CDC42BPA"	8476	"ssc"
"CDC42SE2"	56990	"shared"
"CDC5L"	988	"shared"
"CDCA2"	157313	"sle"
