node	DC	CC	EC
64333	0.006	0.325	0.007
64332	0.004	0.292	0.003
23370	0.006	0.325	0.008
117584	0.004	0.307	0.005
860	0.013	0.344	0.027
7006	0.015	0.345	0.028
80739	0.004	0.307	0.007
11113	0.004	0.318	0.006
7022	0.011	0.333	0.013
11122	0.002	0.304	0.005
64375	0.002	0.264	0.002
11140	0.021	0.355	0.03
64398	0.015	0.292	0.002
84883	0.002	0.302	0.004
